rank	rating	title	year	votes	url
127	8.2	Scarface 	1983	305,799	/title/tt0086250/
128	8.2	Fargo 	1996	258,580	/title/tt0116282/
129	8.2	The Big Lebowski 	1998	311,490	/title/tt0118715/
130	8.2	Ran 	1985	50,426	/title/tt0089881/
131	8.2	Touch of Evil 	1958	47,911	/title/tt0052311/
132	8.2	The Deer Hunter 	1978	146,522	/title/tt0077416/
133	8.2	Cool Hand Luke 	1967	76,349	/title/tt0061512/
134	8.2	The Gold Rush 	1925	37,074	/title/tt0015864/
135	8.1	Lock, Stock and Two Smoking Barrels 	1998	247,381	/title/tt0120735/
136	8.1	No Country for Old Men 	2007	357,674	/title/tt0477348/
137	8.1	It Happened One Night 	1934	39,037	/title/tt0025316/
138	8.1	Sin City 	2005	419,429	/title/tt0401792/
139	8.1	Strangers on a Train 	1951	57,456	/title/tt0044079/
140	8.1	Jaws 	1975	238,929	/title/tt0073195/
141	8.1	The Sixth Sense 	1999	426,716	/title/tt0167404/
142	8.1	Casino 	1995	194,219	/title/tt0112641/
143	8.1	Platoon 	1986	182,520	/title/tt0091763/
144	8.1	The Thing 	1982	157,184	/title/tt0084787/
145	8.1	The Avengers 	2012	484,294	/title/tt0848228/
146	8.1	Trainspotting 	1996	277,393	/title/tt0117951/
147	8.1	Butch Cassidy and the Sundance Kid 	1969	92,800	/title/tt0064115/
148	8.1	The Wizard of Oz 	1939	171,892	/title/tt0032138/
149	8.1	High Noon 	1952	51,467	/title/tt0044706/
150	8.1	Hotel Rwanda 	2004	162,853	/title/tt0395169/
151	8.1	Good Will Hunting 	1997	317,662	/title/tt0119217/
152	8.1	Kill Bill: Vol. 1 	2003	424,372	/title/tt0266697/
153	8.1	Warrior 	2011	163,120	/title/tt1291584/
154	8.1	Annie Hall 	1977	113,747	/title/tt0075686/
155	8.1	The Secret in Their Eyes 	2009	64,491	/title/tt1305806/
156	8.1	Gone with the Wind 	1939	134,363	/title/tt0031381/
157	8.1	The Grapes of Wrath 	1940	37,916	/title/tt0032551/
158	8.1	Notorious 	1946	47,616	/title/tt0038787/
159	8.1	My Neighbor Totoro 	1988	75,609	/title/tt0096283/
160	8.1	Into the Wild 	2007	229,465	/title/tt0758758/
161	8.1	V for Vendetta 	2005	450,594	/title/tt0434409/
162	8.1	Life of Brian 	1979	165,230	/title/tt0079470/
163	8.1	Finding Nemo 	2003	357,149	/title/tt0266543/
164	8.1	Dial M for Murder 	1954	57,829	/title/tt0046912/
165	8.1	How to Train Your Dragon 	2010	211,832	/title/tt0892769/
166	8.1	The King's Speech 	2010	251,468	/title/tt1504320/
167	8.1	There Will Be Blood 	2007	227,379	/title/tt0469494/
168	8.1	The Big Sleep 	1946	42,736	/title/tt0038355/
169	8.1	The Night of the Hunter 	1955	40,257	/title/tt0048424/
170	8.1	Ben-Hur 	1959	96,208	/title/tt0052618/
171	8.1	The Terminator 	1984	337,975	/title/tt0088247/
172	8.1	Network 	1976	62,579	/title/tt0074958/
173	8.1	Million Dollar Baby 	2004	271,074	/title/tt0405159/
174	8.1	Stand by Me 	1986	161,891	/title/tt0092005/
175	8.1	The Best Years of Our Lives 	1946	25,136	/title/tt0036868/
176	8.1	Groundhog Day 	1993	253,329	/title/tt0107048/
177	8.1	Donnie Darko 	2001	361,404	/title/tt0246578/
178	8.1	Twelve Monkeys 	1995	284,664	/title/tt0114746/
179	8.1	Dog Day Afternoon 	1975	112,945	/title/tt0072890/
180	8.1	The 400 Blows 	1959	41,067	/title/tt0053198/
181	8.1	Mary and Max 	2009	58,252	/title/tt0978762/
182	8.1	Amores Perros 	2000	109,383	/title/tt0245712/
183	8.1	Black Swan 	2010	330,644	/title/tt0947798/
184	8.1	The Bourne Ultimatum 	2007	288,841	/title/tt0440963/
185	8.1	Gandhi 	1982	97,609	/title/tt0083987/
186	8.1	Persona 	1966	32,080	/title/tt0060827/
187	8.1	Howl's Moving Castle 	2004	105,897	/title/tt0347149/
188	8.0	The Killing 	1956	40,013	/title/tt0049406/
189	8.0	The Hobbit: An Unexpected Journey 	2012	276,210	/title/tt0903624/
190	8.0	The Graduate 	1967	134,543	/title/tt0061722/
191	8.0	Life of Pi 	2012	172,548	/title/tt0454876/
192	8.0	A Beautiful Mind 	2001	300,695	/title/tt0268978/
193	8.0	The Princess Bride 	1987	188,120	/title/tt0093779/
194	8.0	8½ 	1963	49,280	/title/tt0056801/
195	8.0	Who's Afraid of Virginia Woolf? 	1966	33,985	/title/tt0061184/
196	8.0	The Hustler 	1961	39,259	/title/tt0054997/
197	8.0	Slumdog Millionaire 	2008	378,738	/title/tt1010048/
198	8.0	La strada 	1954	29,000	/title/tt0047528/
199	8.0	Rocky 	1976	195,826	/title/tt0075148/
200	8.0	The Manchurian Candidate 	1962	49,050	/title/tt0056218/
